#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
17916;1313506800;751;1.43654;1.43912;1.43588;1.43741;-0.0063517;1.39461405
17915;1313510400;751;1.43741;1.44084;1.43732;1.43879;-0.00505981;1.39461405
17914;1313514000;751;1.43878;1.44121;1.43872;1.43978;-0.00545222;1.39461405
17913;1313517600;751;1.43981;1.44266;1.43886;1.44194;-0.00183087;1.39461405
17912;1313521200;751;1.44194;1.44715;1.43817;1.44045;-0.00253393;1.39461405
17911;1313524800;751;1.44039;1.44108;1.43755;1.44068;-0.00459505;1.39461405
17910;1313528400;751;1.44071;1.44257;1.43929;1.4396;-0.00521673;1.39461405
17909;1313532000;751;1.43962;1.44135;1.43947;1.44085;0.00166568;1.39461405
17908;1313535600;751;1.44084;1.44119;1.43997;1.44057;-0.00206863;1.39461405
17907;1313539200;750;1.44067;1.44095;1.43968;1.43986;-0.00676455;1.394931
17906;1313542800;750;1.43984;1.44026;1.43952;1.43959;-0.00850242;1.394931
17905;1313546400;750;1.43959;1.43974;1.43786;1.43798;-0.0139084;1.394931
17904;1313550000;750;1.43801;1.43847;1.43507;1.43748;-0.01476194;1.394931
17903;1313553600;750;1.43751;1.43751;1.43573;1.4369;-0.01708539;1.394931
17902;1313557200;750;1.43692;1.43934;1.43648;1.43907;-0.01197996;1.394931
17901;1313560800;750;1.43907;1.43926;1.43799;1.43879;-0.01164868;1.394931
17900;1313564400;750;1.43877;1.44085;1.43856;1.44055;-0.00837874;1.394931
17899;1313568000;750;1.44057;1.44168;1.43995;1.44023;-0.0079154;1.394931
17898;1313571600;750;1.44019;1.44095;1.43702;1.43759;-0.01317483;1.394931
17897;1313575200;750;1.4376;1.43945;1.43241;1.43903;-0.009562;1.394931
17896;1313578800;750;1.43902;1.44086;1.43758;1.44058;-0.00493551;1.394931
17895;1313582400;750;1.44059;1.44536;1.44039;1.44315;0.00101861;1.394931
17894;1313586000;750;1.44315;1.44654;1.44254;1.44529;0.00588809;1.394931
17893;1313589600;750;1.44528;1.44909;1.44508;1.44886;0.01273415;1.394931
17892;1313593200;750;1.44887;1.45066;1.44645;1.44723;0.00793239;1.394931
17891;1313596800;750;1.44724;1.45167;1.44696;1.45084;0.01575639;1.394931
17890;1313600400;750;1.45083;1.45127;1.44435;1.44532;0.0064138;1.394931
17889;1313604000;750;1.44532;1.44659;1.44211;1.44358;0.00393466;1.394931
17888;1313607600;750;1.44357;1.44565;1.44228;1.4438;0.00442582;1.394931
17887;1313611200;750;1.44381;1.44518;1.44284;1.44434;0.00747746;1.394931
